"Unicode.Code.Point.s.","Emoji","Description","Translated"
"U+1F600","😀","Grinning Face","Sırıtan Yüz"
"U+1F603","😃","Grinning Face With Big Eyes","İri Gözlü Sırıtan Yüz"
"U+1F604","😄","Grinning Face With Smiling Eyes","Gülen Gözlerle Sırıtan Yüz"
"U+1F601","😁","Beaming Face With Smiling Eyes","Gülen Gözlerle Işıldayan Yüz"
"U+1F606","😆","Grinning Squinting Face","Sırıtan şaşı yüz"
"U+1F605","😅","Grinning Face With Sweat","Terli Sırıtan Yüz"
"U+1F923","🤣","Rolling On The Floor Laughing","Yerde yuvarlanarak gülüyorum"
"U+1F602","😂","Face With Tears Of Joy","Sevinç Gözyaşlarıyla Yüzleşin"
"U+1F642","🙂","Slightly Smiling Face","Hafifçe Gülen Yüz"
"U+1F643","🙃","Upside-Down Face","Baş Aşağı Yüz"
"U+1FAE0","🫠","Melting Face","Eriyen Yüz"
"U+1F609","😉","Winking Face","Göz Kırpan Yüz"
"U+1F60A","😊","Smiling Face With Smiling Eyes","Gülen Gözlerle Gülen Yüz"
"U+1F607","😇","Smiling Face With Halo","Halo ile Gülen Yüz"
"U+1F970","🥰","Smiling Face With Hearts","Kalpli Gülen Yüz"
"U+1F60D","😍","Smiling Face With Heart-Eyes","Kalp Gözlü Gülen Yüz"
"U+1F929","🤩","Star-Struck","Yıldız Çarpması"
"U+1F618","😘","Face Blowing A Kiss","Yüze öpücük üfleme"
"U+1F617","😗","Kissing Face","Yüz Öpüşme"
"U+263A U+FE0F","☺️","Smiling Face","Gülen yüz"
"U+1F61A","😚","Kissing Face With Closed Eyes","Kapalı Gözlerle Yüz Öpüşme"
"U+1F619","😙","Kissing Face With Smiling Eyes","Gülen gözlerle yüz öpüşme"
"U+1F972","🥲","Smiling Face With Tear","Gözyaşı ile Gülen Yüz"
"U+1F60B","😋","Face Savoring Food","Yiyeceklerin Tadını Çıkaran Yüz"
"U+1F61B","😛","Face With Tongue","Dilli Yüz"
"U+1F61C","😜","Winking Face With Tongue","Dil ile göz kırpan yüz"
"U+1F92A","🤪","Zany Face","Zany Yüz"
"U+1F61D","😝","Squinting Face With Tongue","Dil ile şaşı yüz"
"U+1F911","🤑","Money-Mouth Face","Para Ağızlı Yüz"
"U+1F917","🤗","Smiling Face With Open Hands","Elleri Açık Gülen Yüz"
"U+1F92D","🤭","Face With Hand Over Mouth","El Ağzın Üstünde Yüz"
"U+1FAE2","🫢","Face With Open Eyes And Hand Over Mouth","Gözleri Açık ve Ağzı Ağzı Açık Olan Yüz"
"U+1FAE3","🫣","Face With Peeking Eye","Dikizleyen Gözlü Yüz"
"U+1F92B","🤫","Shushing Face","Susturucu Yüz"
"U+1F914","🤔","Thinking Face","Düşünen Yüz"
"U+1FAE1","🫡","Saluting Face","Selam veren yüz"
"U+1F910","🤐","Zipper-Mouth Face","Fermuar-Ağız Yüzü"
"U+1F928","🤨","Face With Raised Eyebrow","Kaşları Kaldırılmış Yüz"
"U+1F610","😐","Neutral Face","Nötr Yüz"
"U+1F611","😑","Expressionless Face","İfadesiz Yüz"
"U+1F636","😶","Face Without Mouth","Ağızsız Yüz"
"U+1FAE5","🫥","Dotted Line Face","Noktalı Çizgi Yüzü"
